short_prompt,expanded_prompt
"How does a touchscreen work?","Describe how a touchscreen works in detail, including different technologies (resistive, capacitive), the principles behind touch detection, multi-touch capabilities, and how touchscreens are integrated with device software."
"Tell me about the Silk Road.","Explain the Silk Road in detail, including its historical importance, major routes connecting East Asia and the Mediterranean, traded goods and cultural exchanges, key cities and civilizations involved, and its impact on global history."
"What is machine vision?","Describe machine vision in detail, including its definition, key components (cameras, image processing software), applications in manufacturing and quality control, relationship to computer vision and AI, and current challenges in the field."
"How does a fuel cell work?","Explain how a fuel cell works in detail, including the basic principle of electrochemical energy conversion, types of fuel cells (hydrogen, solid oxide), components (anode, cathode, electrolyte), and applications in transportation and power generation."
"Describe a sunset.","Describe a sunset in detail, including the colors in the sky, the position of the sun, and any surrounding landscape features."
"What is photosynthesis?","Explain the process of photosynthesis in detail, including the role of sunlight, chlorophyll, and the conversion of carbon dioxide and water into glucose and oxygen."
"Tell me about your favorite book.","Tell me about your favorite book in detail, including the plot, characters, themes, and why it is your favorite."
"How do you make a cake?","Describe the process of making a cake in detail, including the ingredients needed, steps involved, and any tips for success."
"What are the benefits of exercise?","Explain the benefits of exercise in detail, including physical, mental, and emotional advantages, as well as any scientific evidence supporting these benefits."
"Describe your dream vacation.","Describe your dream vacation in detail, including the destination, activities you would do, places you would visit, and why it is your dream vacation."
"What is the water cycle?","Explain the water cycle in detail, including the processes of evaporation, condensation, precipitation, and collection, as well as the importance of each stage."
"How does a car engine work?","Describe how a car engine works in detail, including the main components, the internal combustion process, and how energy is converted into motion."
"Tell me about your favorite hobby.","Tell me about your favorite hobby in detail, including how you got started, what you enjoy about it, and any interesting experiences you've had."
"What is the history of the internet?","Explain the history of the internet in detail, including key events, technological advancements, and the impact it has had on society."
"Describe a rainy day.","Describe a rainy day in detail, including the sights, sounds, and feelings associated with the rain, as well as any activities you enjoy doing."
"What are the different types of clouds?","Explain the different types of clouds in detail, including their names, characteristics, and how they form."
"How do you prepare for a job interview?","Describe the process of preparing for a job interview in detail, including researching the company, practicing common questions, and what to bring."
"What is renewable energy?","Explain what renewable energy is in detail, including the different types, how they work, and their benefits compared to non-renewable energy sources."
"Describe your favorite meal.","Describe your favorite meal in detail, including the ingredients, how it is prepared, and why it is your favorite."
"What are the causes of climate change?","Explain the causes of climate change in detail, including natural factors, human activities, and the evidence supporting these causes."
"How do you stay healthy?","Describe how you stay healthy in detail, including your diet, exercise routine, and any other habits that contribute to your well-being."
"What is photosynthesis?","Explain the process of photosynthesis in detail, including the light-dependent and light-independent reactions, the role of chlorophyll, how plants convert sunlight into chemical energy, and the importance of this process for life on Earth."
"Describe a beach.","Describe a beach in vivid detail, including the texture of the sand, the sound of the waves, the smell of the sea air, the warmth of the sun, and the various activities people engage in. Consider the time of day and how it affects the atmosphere."
"How does a computer mouse work?","Explain how a computer mouse works in detail, including the different types (mechanical, optical, laser), how movement is detected and translated to cursor movement, the function of buttons and scroll wheels, and the evolution of mouse technology."
"What is the greenhouse effect?","Describe the greenhouse effect in detail, including how it works, the role of greenhouse gases, its importance for maintaining Earth's temperature, and how human activities are enhancing this effect, leading to global warming."
"Tell me about the Roman Empire.","Explain the Roman Empire in detail, including its origins, expansion, key historical figures, political and social structures, technological and cultural achievements, and its eventual decline and fall. Discuss its lasting impact on Western civilization."
"How does a refrigerator work?","Describe how a refrigerator works in detail, including the refrigeration cycle, key components (compressor, condenser, evaporator, expansion valve), the role of refrigerants, and how it maintains a cold temperature to preserve food."
"What is machine learning?","Explain machine learning in detail, including its definition, main types (supervised, unsupervised, and reinforcement learning), common algorithms, applications in various industries, and its relationship to artificial intelligence and data science."
"Describe a rainforest.","Describe a rainforest ecosystem in detail, including the layers of the forest (emergent, canopy, understory, forest floor), the diverse plant and animal life, the climate conditions, and the importance of rainforests for global biodiversity and climate regulation."
"How does a touchscreen work?","Explain how a touchscreen works in detail, including different technologies (resistive, capacitive), the principles behind touch detection, multi-touch capabilities, and how touchscreens are integrated with device software and hardware."
"What is blockchain?","Describe blockchain technology in detail, including its definition, how it works (distributed ledger, consensus mechanisms), key features (transparency, immutability), applications beyond cryptocurrencies, and potential future impacts on various industries."
"Tell me about the Renaissance.","Explain the Renaissance period in detail, including its origins in Italy, key figures in art, literature, and science, major cultural and intellectual developments, the concept of humanism, and its lasting impact on Western art, culture, and thinking."
"How does a car engine work?","Describe how a car engine works in detail, including the four-stroke cycle (intake, compression, combustion, exhaust), key components (pistons, crankshaft, valves), fuel injection systems, and how energy from fuel combustion is converted into mechanical motion."
"What is quantum computing?","Explain quantum computing in detail, including the principles of quantum mechanics it relies on (superposition, entanglement), how quantum bits (qubits) differ from classical bits, potential applications in cryptography and complex problem-solving, and current challenges in the field."
"Describe a thunderstorm.","Describe a thunderstorm in vivid detail, including the formation of cumulonimbus clouds, the sights and sounds of lightning and thunder, rain intensity, wind patterns, and the overall atmosphere before, during, and after the storm. Consider the emotional impact of experiencing such a powerful natural event."
"How does a wind turbine work?","Explain how a wind turbine generates electricity in detail, including the components (blades, rotor, generator), the conversion of wind energy to mechanical and then electrical energy, factors affecting wind turbine efficiency, and the advantages and challenges of wind power."
"What is artificial intelligence?","Describe artificial intelligence in detail, including its definition, various types (narrow AI, general AI, and superintelligence), key applications in today's world, machine learning and deep learning as subfields, ethical considerations, and potential future implications for society and technology."
"Tell me about plate tectonics.","Explain the theory of plate tectonics in detail, including the structure of the Earth's crust, types of plate boundaries (convergent, divergent, transform), the causes of plate movement, and how this process shapes the Earth's surface through earthquakes, volcanoes, and mountain formation."
"How does a vaccine work?","Describe how a vaccine works in detail, including the principle of immunization, types of vaccines (live attenuated, inactivated, subunit, mRNA), the role of adjuvants, how vaccines stimulate the immune system, the concept of herd immunity, and the process of vaccine development and testing."
"What is the water cycle?","Explain the water cycle in detail, including the processes of evaporation, condensation, precipitation, infiltration, and runoff. Describe how water moves through the atmosphere, land, and oceans, and its importance for Earth's climate, ecosystems, and human societies."
"Describe a medieval castle.","Describe a medieval castle in detail, including its defensive features (walls, towers, moat), living quarters, great hall, courtyard, and other key areas. Explain the daily life within the castle, its role in feudal society, and how castle design evolved over time in response to changing warfare techniques."
"How does a nuclear power plant work?","Explain how a nuclear power plant works in detail, including nuclear fission reactions, reactor design, cooling systems, safety measures, the process of generating electricity from nuclear energy, handling and storage of nuclear waste, and the pros and cons of nuclear power."
"What is the theory of relativity?","Describe Einstein's theory of relativity in detail, including both special and general relativity, key concepts (spacetime, mass-energy equivalence), how it changed our understanding of space, time, and gravity, and its practical applications in modern technology like GPS systems."
"Tell me about the Industrial Revolution.","Explain the Industrial Revolution in detail, including its origins in 18th-century Britain, key technological innovations (steam engine, spinning jenny), social and economic changes, impact on urbanization and working conditions, and how it spread globally, shaping the modern world."
"How does a 3D printer work?","Describe how a 3D printer works in detail, including different printing technologies (FDM, SLA, SLS), the process of creating 3D models, slicing software, materials used, layer-by-layer printing process, and applications in various industries from manufacturing to medicine."
"What is genetic engineering?","Explain genetic engineering in detail, including its definition, basic techniques (gene splicing, CRISPR-Cas9), applications in medicine, agriculture, and biotechnology, ethical considerations surrounding genetically modified organisms, and potential future developments in the field."
"Describe the process of digestion.","Explain the human digestive process in detail, including the role of each organ (mouth, esophagus, stomach, small and large intestines), enzymatic breakdown of food, nutrient absorption, the function of the liver and pancreas in digestion, and how the body eliminates waste."
"How does a smartphone camera work?","Describe how a smartphone camera works in detail, including the lens system, image sensor technology, image processing algorithms, autofocus mechanisms, HDR imaging, low-light photography techniques, and how computational photography is revolutionizing mobile photography."
"What is machine vision?","Explain machine vision in detail, including its definition, key components (cameras, image processing software), applications in manufacturing, quality control, and autonomous vehicles, its relationship to computer vision and AI, and current challenges and advancements in the field."
"Tell me about the French Revolution.","Describe the French Revolution in detail, including its causes (social inequality, financial crisis), key events (Storming of the Bastille, Reign of Terror), important figures (Robespierre, Napoleon), major outcomes, and its impact on modern political ideologies and systems of government."
"How does a microwave oven work?","Explain how a microwave oven works in detail, including the generation of microwaves by the magnetron, how microwaves interact with water molecules in food to produce heat, the role of the waveguide and turntable, safety features, and why some materials can't be used in microwaves."
"What is virtual reality?","Describe virtual reality technology in detail, including the components of VR systems (headsets, controllers, sensors), how immersive environments are created, the concept of presence, applications in gaming, education, training, and therapy, and potential future developments in the field."
"Describe the process of photosynthesis.","Explain the process of photosynthesis in detail, including the light-dependent and light-independent reactions, the role of chlorophyll and other pigments, the conversion of solar energy into chemical energy, the production of glucose and oxygen, and its importance for life on Earth."
"How does a jet engine work?","Describe how a jet engine works in detail, including the four main components (inlet, compressor, combustion chamber, turbine), the principle of jet propulsion, different types of jet engines (turbojet, turbofan), and how they enable high-speed flight in modern aircraft."
"What is the Big Bang theory?","Explain the Big Bang theory in detail, including its basic premise, supporting evidence (cosmic microwave background radiation, expansion of the universe), the timeline of the early universe, formation of elements and structures, and how it relates to our current understanding of cosmology."
"Tell me about the American Civil War.","Describe the American Civil War in detail, including its causes (slavery, states' rights, economic differences), major battles, key figures (Abraham Lincoln, Robert E. Lee), the Emancipation Proclamation, its impact on American society, and the challenges of the Reconstruction era."
"How does a laser work?","Explain how a laser works in detail, including the principle of stimulated emission, population inversion, optical resonators, types of lasers (gas, solid-state, semiconductor), and their various applications in medicine, industry, communications, and consumer electronics."
"What is artificial neural network?","Describe artificial neural networks in detail, including their inspiration from biological neurons, basic structure (input layer, hidden layers, output layer), training processes (backpropagation), activation functions, and applications in deep learning and various AI tasks."
"Describe the process of meiosis.","Explain the process of meiosis in detail, including its stages (prophase I and II, metaphase I and II, anaphase I and II, telophase I and II), the importance of genetic recombination, how it differs from mitosis, and its role in sexual reproduction and genetic diversity."
"How does a telescope work?","Describe how a telescope works in detail, including different types (refracting, reflecting, catadioptric), optical principles, the role of lenses and mirrors, light gathering and magnification, and how modern telescopes overcome atmospheric distortion and light pollution."
"What is the Doppler effect?","Explain the Doppler effect in detail, including its definition, examples in sound and light, mathematical description, applications in various fields (astronomy, medical imaging, radar), and how it relates to the concept of redshift in the expanding universe theory."
"Tell me about the Silk Road.","Describe the Silk Road in detail, including its historical importance, major routes connecting East Asia and the Mediterranean, traded goods and cultural exchanges, key cities and civilizations involved, the spread of religions and technologies, and its impact on global history and culture."
"How does a fuel cell work?","Explain how a fuel cell works in detail, including the basic principle of electrochemical energy conversion, types of fuel cells (hydrogen, solid oxide), components (anode, cathode, electrolyte), the chemical reactions involved, and applications in transportation and power generation."
"What is cloud computing?","Describe cloud computing in detail, including its definition, service models (IaaS, PaaS, SaaS), deployment models (public, private, hybrid), key benefits and challenges, major providers, and how it has transformed IT infrastructure and software delivery."
"Describe the process of evolution.","Explain the process of biological evolution in detail, including natural selection, genetic variation, adaptation, speciation, the role of mutations, evidence from fossil records and comparative genetics, and how it explains the diversity of life on Earth."
"How does a black hole form?","Describe how a black hole forms in detail, including the life cycle of massive stars, gravitational collapse, the concept of the event horizon, different types of black holes (stellar, supermassive), Hawking radiation, and their role in shaping galaxies."
"What is the human nervous system?","Explain the human nervous system in detail, including its division into central and peripheral systems, the structure and function of neurons, how nerve impulses are transmitted, the role of neurotransmitters, and how the nervous system controls bodily functions and processes sensory information."
"Tell me about the Great Depression.","Describe the Great Depression in detail, including its causes (stock market crash, bank failures), its global impact, key events and policies (New Deal), social and economic consequences, how different countries responded, and its influence on modern economic policies and safeguards."
"How does a transistor work?","Explain how a transistor works in detail, including its basic structure (emitter, base, collector), types (bipolar, field-effect), how it amplifies and switches electronic signals, its role in digital logic, and its importance in the development of modern electronics and computing."
"What is gene therapy?","Describe gene therapy in detail, including its definition, different approaches (gene addition, gene editing, cell therapy), delivery methods (viral vectors, nanoparticles), current applications and clinical trials, ethical considerations, and potential future developments in treating genetic disorders."
"Describe the process of respiration.","Explain the process of cellular respiration in detail, including glycolysis, the citric acid cycle, and the electron transport chain. Describe how cells break down glucose to produce ATP, the role of oxygen in aerobic respiration, and how this process differs from photosynthesis."
"How does a radio telescope work?","Describe how a radio telescope works in detail, including its components (antenna, receiver, amplifier), how it detects radio waves from celestial objects, the advantages of radio astronomy over optical astronomy, and major discoveries made using radio telescopes."
"What is nanotechnology?","Explain nanotechnology in detail, including its definition, key concepts (quantum effects, self-assembly), tools and techniques used in nanoscale manipulation, applications in various fields (medicine, electronics, materials science), and potential future impacts on technology and society."
"Tell me about the Age of Exploration.","Describe the Age of Exploration in detail, including its causes (technological advancements, economic motivations), key explorers and their voyages, the Columbian Exchange, the establishment of colonial empires, and its long-term impacts on global trade, culture, and power dynamics."
"How does a GPS work?","Explain how the Global Positioning System (GPS) works in detail, including satellite constellations, trilateration, atomic clocks, how receivers calculate position and time, sources of error and correction methods, and applications beyond navigation in various industries."
"What is the theory of plate tectonics?","Describe the theory of plate tectonics in detail, including the structure of the Earth's crust, types of plate boundaries, the causes of plate movement, and how this process shapes the Earth's surface through earthquakes, volcanoes, and mountain formation."
"Describe the water cycle.","Explain the water cycle in detail, including the processes of evaporation, condensation, precipitation, infiltration, and runoff. Describe how water moves through the atmosphere, land, and oceans, and its importance for Earth's climate and ecosystems."
"How does a nuclear reactor work?","Describe how a nuclear reactor works in detail, including the fission process, reactor design (core, control rods, coolant), types of reactors (PWR, BWR), safety systems, and the process of generating electricity from nuclear energy."
"What is the human immune system?","Explain the human immune system in detail, including innate and adaptive immunity, key components (white blood cells, antibodies, lymph nodes), how it recognizes and fights pathogens, autoimmune disorders, and the role of vaccines in boosting immunity."
"Tell me about the Crusades.","Describe the Crusades in detail, including their causes (religious, political, economic), major expeditions, key figures, the establishment of Crusader states, interactions between European and Middle Eastern cultures, and their long-term impact on East-West relations."
"How does a solar panel work?","Explain how a solar panel works in detail, including the photovoltaic effect, semiconductor materials used, the structure of solar cells, how sunlight is converted into electricity, factors affecting efficiency, and applications in renewable energy systems."
"What is artificial general intelligence?","Describe artificial general intelligence (AGI) in detail, including its definition, how it differs from narrow AI, key challenges in AGI development, potential approaches (whole brain emulation, cognitive architectures), ethical considerations, and its potential impact on society."
